"lakeday","jday_cum","date","lake_id","jday","year","max.depth","pH","cond","o.cline","depth_w_o","depth_no_o","o_surf","o_mean","t.max","t.min","t.surf","t.cline","t.ocline","chl.surf","pc.surf","chl.tot","pc.tot","chl.oo","pc.oo","chl.mean","pc.mean","chl.int.unf","pc.int.unf","chl.int.30","pc.int.30","dpa.ncount","dpa.ninfect","dpa.nhealthy","dpa.lprev","dpa.lprev.se","dpa.nhealthymoms","dpa.nlmoms","dpa.healthy.eggs","dpa.l.eggs","dam.ncount","dam.ninfect","dam.nhealthy","dam.lprev","dam.lprev.se","dam.nhealthymoms","dam.nlmoms","dam.healthy.eggs","dam.l.eggs","dla.ncount","dla.ninfect","dla.nhealthy","dla.lprev","dla.lprev.se","dla.nhealthymoms","dla.nlmoms","dla.healthy.eggs","dla.l.eggs","sim.ncount","sim.ninfect","sim.nhealthy","sim.lprev","sim.lprev.se","sim.nhealthymoms","sim.nlmoms","sim.healthy.eggs","sim.l.eggs","dia.ncount","dia.ninfect","dia.nhealthy","dia.lprev","dia.lprev.se","cer.ncount","cer.ninfect","cer.nhealthy","cer.lprev","cer.lprev.se","bos.ncount","bos.ninfect","bos.nhealthy","bos.lprev","bos.lprev.se","light.0.5","light.1.0","light.1.5","light.2.0","light.mean","light.sd","light.cv","surf.correct","alo.dens","bos.dens","cal.dens","cer.dens","cha.dens","cyc.dens","dam.dens","dia.dens","dla.dens","dpa.dens","fairy.dens","hol.dens","mite.dens","ost.densr","sca.dens","sim.dens","invsimp","shannon"
"Big Sister_97",97,"4/7/2021","Big Sister",97,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,363,51,312,0.140495867768595,0.0182390598107019,90,51,0.755555555555556,0.368421052631579,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,22,0,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,10045.2816182145,19014.2830630489,0,0,16682.3426873919,162159.546122606,0,358.760057793375,0,0,0,0,538.140086690063,0,0,1.61249152038084,0.788806502422483
"Big Sister_104",104,"4/14/2021","Big Sister",104,2021,2.867,7.05166666666667,51.95,NA,2.867,0,8.13,6.03,21.6666666666667,17.6111111111111,21.6666666666667,1.01358585858586,NA,0.09,0,0.28029,0.15962074829932,0.28029,0.15962074829932,0.1275,0.112755102040816,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,397,8,389,0.0201511335012594,0.00705235286315732,217,8,0.783410138248848,0,2,0,2,0,0,1,0,5,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5740.160924694,31570.885085817,358.760057793375,0,27624.5244500899,105475.456991252,0,0,0,0,0,0,358.760057793375,0,0,2.26697021929519,1.04436798683966
"Big Sister_111",111,"4/21/2021","Big Sister",111,2021,3.305,7.14444444444444,52.6333333333333,3.305,3.305,0,7.4175,6.14888888888889,20.3333333333333,18.5555555555556,20.2638888888889,2.73747474747475,18.6443433791666,0.09,0.0896258503401363,0.35823,0.30868299319728,0.35823,0.30868299319728,0.12,0.117091836734694,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,390,9,381,0.0230769230769231,0.00760303223893057,218,9,1.44495412844037,0.222222222222222,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13274.1221383549,74263.3319632287,0,0,25471.9641033296,89690.0144483438,0,0,0,0,0,0,0,0,0,2.85636950939074,1.16796792859722
"Big Sister_118",118,"4/28/2021","Big Sister",118,2021,2.592,7.11125,46.7875,NA,2.592,0,7.82333333333333,7.25875,21.7222222222222,18.7777777777778,21.4444444444444,1.02109090909091,NA,0.143333333333333,0,0.30903,0.00292006802721095,0.30903,0.00292006802721095,0.15,0.0019274376417234,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,319,0,319,0,0,181,0,1.6353591160221,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,62783.0101138407,23678.1638143628,179.380028896688,0,15606.0625140118,64038.6703161175,896.900144483438,0,0,0,0,0,358.760057793375,0,0,3.17252665725965,1.28172667553169
"Big Sister_125",125,"5/5/2021","Big Sister",125,2021,2.939,7.16,52.6111111111111,2.90634343434343,2.90634343434343,0.0326565656565658,7.68,5.40888888888889,22.1666666666667,19,21.9814814814815,1.83870707070707,19.1190897083732,0.373333333333333,0,0.67914,0,0.67914,0,0.268571428571429,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,79,0,79,0,0,39,0,1.28205128205128,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27385.3510782276,9925.69493228338,837.106801517876,0,16622.5493444264,4424.70737945163,119.586685931125,239.17337186225,0,0,0,0,1793.80028896688,0,0,3.2773633544627,1.39436633971014
"Big Sister_132",132,"5/12/2021","Big Sister",132,2021,3.027,7.105,51.0611111111111,2.84373737373737,2.84373737373737,0.183262626262626,8.21166666666667,5.50388888888889,22.4444444444444,19.0555555555556,22.4074074074074,1.27060606060606,19.3596472452112,0.665,0.109863945578232,1.42953,0.071995578231293,1.42953,0.071995578231293,0.57,0.0536929057337222,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,15,0,15,0,0,7,0,0.857142857142857,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53814.0086690063,6995.82112697082,0,358.760057793375,18117.3829185655,5740.160924694,538.140086690063,179.380028896688,0,0,0,0,2511.32040455363,0,0,2.35114029294067,1.17299596993367
"Big Sister_139",139,"5/19/2021","Big Sister",139,2021,2.659,7.00285714285714,46.3857142857143,NA,2.659,0,8.30666666666667,6.45285714285714,24.2777777777778,19.3333333333333,23.5555555555556,1.02062626262626,NA,0.51,0.135323383084577,1.43205,0.51695223880597,1.43205,0.51695223880597,0.541666666666667,0.240199004975124,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,18,0,18,0,0,11,0,1.27272727272727,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1.75842199615069,1.54267829001796,1.52023547878876,1.49161863407936,1.57823859975919,0.121926169546376,0.0772545859447231,0.13634531589437,0,90407.5345639306,358.760057793375,1435.0402311735,1255.66020227681,17579.2428318754,2870.080462347,538.140086690063,0,0,0,0,0,1255.66020227681,0,0,1.57554790551825,0.766418353782362
"Big Sister_153",153,"6/2/2021","Big Sister",153,2021,2.613,6.961875,51.6125,2.48631313131313,2.48631313131313,0.126686868686869,7.78333333333333,5.43375,26.9444444444444,21.1666666666667,25.6203703703704,1.54413131313131,21.6244490236092,0.785,0.13363184079602,1.44491,0.275902388059701,1.44491,0.275902388059701,0.668333333333333,0.128557213930348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1542.66824851151,538.140086690063,35.8760057793375,0,1183.90819071814,71.7520115586751,71.7520115586751,0,0,0,0,0,179.380028896688,0,0,3.19080387863622,1.36795330432667
"Big Sister_174",174,"6/23/2021","Big Sister",174,2021,2.855,6.99375,58.8125,2.39023232323232,2.39023232323232,0.464767676767677,7.07333333333333,4.72375,26.3333333333333,21.6666666666667,26.2407407407407,1.64148484848485,23.7348020533369,1.32833333333333,0.192835820895522,2.28142,0.523163582089552,1.984955,0.317742686567164,0.926428571428571,0.214584221748401,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,67,5,62,0.0746268656716418,0.0321047019831658,43,5,1.13953488372093,0,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2.28410389643895,2.045322205247,1.93040997591252,1.75709239055752,2.004232117039,0.221016108899537,0.110274706717134,1.01423970933356,0,52737.7284956262,2547.19641033296,609.892098248738,0,1183.90819071814,1578.54425429085,251.132040455363,35.8760057793375,0,0,0,0,574.0160924694,0,0,1.26858889886018,0.535714706804201
"Big Sister_194",194,"7/13/2021","Big Sister",194,2021,3.157,7.065,73.9777777777778,2.0570202020202,2.0570202020202,1.0999797979798,7.62,4.28444444444444,28.1666666666667,22.5,28.1111111111111,1.6139696969697,26.5569426267817,1.01833333333333,0.023681592039801,2.32948,0.274593134328358,1.595735,0.0366185074626865,0.860714285714286,0.120341151385927,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,6,1,5,0.166666666666667,0.152145154862546,0,0,NA,NA,2,0,2,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1793.80028896688,4771.50876865189,394.636063572713,251.132040455363,2905.95646812634,71.7520115586751,287.0080462347,1865.55230052555,71.7520115586751,0,0,0,3408.22054903707,0,35.8760057793375,5.04529724704302,1.79620413913423
"Big Sister_216",216,"8/4/2021","Big Sister",216,2021,2.965,6.7885,67.535,2.47490909090909,2.47490909090909,0.490090909090909,6.1125,4.165,28.3333333333333,24.2222222222222,28.3194444444444,1.69963636363636,25.4123748459627,0.73625,0.12625,1.73654,0.50149,1.389915,0.208845,0.698125,0.238125,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,28,2,26,0.0714285714285714,0.0486703674192319,15,2,0.666666666666667,0,2,0,2,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1650.29626584953,5632.53290735599,2080.80833520158,287.0080462347,3587.60057793375,1614.42026007019,215.256034676025,71.7520115586751,0,0,0,0,574.0160924694,0,0,4.51249000329303,1.72269947024672
"Big Sister_238",238,"8/26/2021","Big Sister",238,2021,3.101,6.90888888888889,72.0888888888889,1.9420404040404,1.9420404040404,1.1589595959596,7.65166666666667,3.85722222222222,29.7222222222222,23.9444444444444,29.4907407407407,1.19028282828283,27.1948483684314,0.621666666666667,0,1.81993,0.864285000000002,1.14937,0.013915,0.695,0.460714285714286,NA,NA,NA,NA,10,0,10,0,0,3,0,2.33333333333333,NA,306,9,297,0.0294117647058824,0.00965867025631155,157,9,1.0828025477707,0,3,0,3,0,0,2,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,215.256034676025,2977.70847968501,358.760057793375,0,2188.43635253959,1004.52816182145,71.7520115586751,717.520115586751,0,0,0,0,179.380028896688,0,0,3.86528973994481,1.58832167500076
"Big Sister_257",257,"9/14/2021","Big Sister",257,2021,2.611,6.921875,49.00625,NA,2.611,0,6.69833333333333,4.97375,27.7777777777778,24.6666666666667,26.6481481481481,NA,NA,0.841666666666667,0.075,1.157585,0.252825,1.157585,0.252825,0.628333333333333,0.0966666666666667,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,316,5,311,0.0158227848101266,0.00701995895327243,171,5,0.263157894736842,0,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3910.48462994779,5560.78089579732,1183.90819071814,0,1040.40416760079,5166.1448322246,143.50402311735,0,0,0,0,0,107.628017338013,0,0,3.882946225916,1.49296002295744
"Big Sister_285",285,"10/12/2021","Big Sister",285,2021,2.892,6.524375,39.95625,NA,2.892,0,7.60166666666667,7.08125,24.4444444444444,22.4444444444444,24.0185185185185,NA,NA,0.855,0.203333333333333,1.898135,0.443025,1.898135,0.443025,0.714285714285714,0.177142857142857,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,271,1,270,0.003690036900369,0.00368322242197678,135,1,1.02962962962963,0,6,0,6,0,0,2,0,2,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,3.07606467435432,2.98989754383189,2.46497815902635,2.33460177262661,2.71638553745979,0.371098554819723,0.136614832357985,1.55612264673411,0,143.50402311735,7820.96925989558,609.892098248738,0,4448.62471663785,10511.6696933459,394.636063572713,287.0080462347,0,0,0,0,681.644109807413,0,0,3.21949197860963,1.37284382650951
"Big Sister_306",306,"11/2/2021","Big Sister",306,2021,1.578,7.14166666666667,35.4833333333333,NA,1.578,0,8.76,8.64,17.1666666666667,15.8888888888889,16.7962962962963,6.46281818181818,NA,0.713333333333333,0.18,1.10659,0.270385,1.10659,0.270385,0.8575,0.225,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,141,0,141,0,0,55,0,1.10909090909091,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1.33104007979708,1.7067941509554,1.44396322784528,1.41499362294055,1.47419777038458,0.162290335783463,0.110087221025389,0.672819292433272,143.50402311735,287.0080462347,5955.41695937003,322.884052014038,0,3049.46049124369,2511.32040455363,609.892098248738,35.8760057793375,0,0,0,0,71.7520115586751,0,0,3.26499900338848,1.43197118527762
"Big Sister_326",326,"11/22/2021","Big Sister",326,2021,1.645,7.32,28.3,NA,1.645,0,10.3075,10.2828571428571,14.8333333333333,12.1111111111111,13.75,1.01,NA,1.065,0.4425,1.30506,0.50532,1.30506,0.50532,1.204,0.414,1.19,0.25,NA,NA,0,0,0,NA,NA,0,0,NA,NA,200,4,196,0.02,0.00989949493661166,89,4,1.23595505617978,0,0,0,0,NA,NA,0,0,NA,NA,1,1,0,1,0,0,1,NA,0,4,0,4,0,0,12,1,11,0.0833333333333333,0.0797855923130282,0,0,0,NA,NA,2.0989334436363,2.02392133860957,1.88199333228439,1.66733363346168,1.91804543699798,0.189812486570614,0.0989614129619879,1.4594889914359,71.7520115586751,143.50402311735,34476.8415539434,1148.0321849388,0,10332.2896644492,12197.8419649748,1435.0402311735,215.256034676025,0,0,0,0,71.7520115586751,0,0,2.4944454273798,1.16104052972542
"Big Sister_348",348,"12/14/2021","Big Sister",348,2021,1.586,7.518,31.96,NA,1.586,0,10.285,10.3,11.7777777777778,9.94444444444444,11.4444444444444,NA,NA,1.28,0.2,2.322735,0.29779,2.322735,0.29779,2.09,0.266666666666667,1.64,0.34,NA,NA,0,0,0,NA,NA,0,0,NA,NA,157,1,156,0.00636942675159236,0.00634910954910613,72,1,1.31944444444444,0,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,10,1,9,0.1,0.0948683298050514,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.7520115586751,287.0080462347,19839.4311959737,71.7520115586751,0,2762.45244500899,9507.14153152444,753.396121366088,71.7520115586751,0,0,0,0,717.520115586751,0,0,2.3571353949018,1.12012835187218
"Big Sister_369",369,"1/5/2022","Big Sister",4,2022,2.83,7.2,29.8,NA,2.83,0,9.61625,8.339375,11.9444444444444,11.1111111111111,11.8333333333333,NA,NA,1.94625,0.39625,4.627895,0.94594,4.627895,0.94594,1.68214285714286,0.347142857142857,1.16,0.34,NA,NA,0,0,0,NA,NA,0,0,NA,NA,144,0,144,0,0,86,0,2.18604651162791,NA,5,0,5,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,3,0,3,0,0,3,0,3,0,0,0,0,0,NA,NA,2.49582676235515,2.27466640504537,2.16990618417027,1.96635316379658,2.22668812884184,0.220405688298254,0.0989836364793899,0.853819585369581,179.380028896688,968.652156042113,22853.015681438,358.760057793375,0,6170.67299404605,6098.92098248738,574.0160924694,394.636063572713,0,0,0,0,322.884052014038,0,0,2.39977017172683,1.20977625066479
